Newly confirmed cases,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed,Deaths(Cumulative),Severe cases
9208,102334.0,1004293.0,2660.0,19938.0,1796.0
6606,103212.0,1011551.0,2786.0,20002.0,1832.0
9916,104878.0,1018853.0,2808.0,20104.0,1906.0
11576,108196.0,1025817.0,3246.0,20208.0,1902.0
11790,112338.0,1032783.0,3436.0,20382.0,1956.0
9316,114238.0,1041139.0,2862.0,20452.0,2040.0
11980,117444.0,1049135.0,2974.0,20586.0,2100.0
11764,120312.0,1056791.0,3830.0,20716.0,2168.0
8916,122584.0,1064289.0,3774.0,20832.0,2166.0
8398,123430.0,1072493.0,4238.0,20932.0,2228.0
8110,123432.0,1079739.0,4616.0,21026.0,2196.0
8704,124906.0,1086671.0,4442.0,21170.0,2262.0
12064,126630.0,1097133.0,3338.0,21396.0,2262.0
14478,129932.0,1105331.0,4224.0,21638.0,2288.0
12982,134076.0,1113617.0,5706.0,21744.0,2304.0
9850,136122.0,1122755.0,5940.0,21874.0,2354.0
12474,138510.0,1131603.0,6228.0,22120.0,2378.0
14114,140208.0,1142273.0,7510.0,22322.0,2428.0
13732,142288.0,1153323.0,8082.0,22502.0,2418.0
12538,145520.0,1163961.0,6586.0,22722.0,2462.0
12840,146848.0,1174489.0,6834.0,22918.0,2446.0
10494,146470.0,1184753.0,7252.0,23008.0,2454.0
7352,141130.0,1199087.0,7366.0,23240.0,2470.0
10456,136456.0,1212529.0,8380.0,23696.0,2586.0
11622,133670.0,1224899.0,9034.0,23878.0,2576.0
11422,133442.0,1237443.0,8488.0,24098.0,2588.0
10500,131504.0,1251243.0,7188.0,24316.0,2606.0
10068,129530.0,1262397.0,7204.0,24492.0,2608.0
8070,127936.0,1273965.0,6534.0,24616.0,2600.0
5420,123082.0,1284489.0,6684.0,24788.0,2588.0
7792,120520.0,1294397.0,6390.0,24984.0,2826.0
9052,118420.0,1304559.0,6710.0,25194.0,2742.0
8262,117030.0,1313573.0,6904.0,25420.0,2750.0
7412,112044.0,1327975.0,5638.0,25632.0,2766.0
7174,110878.0,1337623.0,6132.0,25834.0,2694.0
5752,107352.0,1345831.0,5286.0,25928.0,2698.0
3572,103024.0,1355317.0,4892.0,26090.0,2646.0
5280,98800.0,1364787.0,5556.0,26272.0,2568.0
6062,93794.0,1375291.0,4946.0,26482.0,2454.0
5650,90838.0,1384053.0,4988.0,26720.0,2396.0
5172,86422.0,1393507.0,3978.0,26890.0,2314.0
5296,84102.0,1401069.0,4268.0,27038.0,2262.0
4034,81984.0,1407283.0,4220.0,27140.0,2240.0
2552,78010.0,1414411.0,3912.0,27282.0,2198.0
3766,74136.0,1421593.0,3834.0,27478.0,2110.0
4448,70536.0,1429701.0,4240.0,27674.0,2030.0
4088,67886.0,1436451.0,3980.0,27806.0,1884.0
3868,64470.0,1443525.0,3492.0,27944.0,1780.0
3882,62500.0,1449375.0,3054.0,28056.0,1704.0
2768,61060.0,1454807.0,4296.0,28132.0,1698.0
1860,56456.0,1460537.0,3216.0,28242.0,1654.0
2836,51618.0,1467781.0,3052.0,28364.0,1690.0
3394,48634.0,1474321.0,3408.0,28528.0,1610.0
3100,45938.0,1479591.0,2962.0,28630.0,1550.0
3238,42268.0,1486757.0,3110.0,28720.0,1480.0
3018,40514.0,1491157.0,2968.0,28788.0,1428.0
2608,39556.0,1494749.0,3236.0,28834.0,1442.0
1728,37444.0,1498743.0,2746.0,28898.0,1394.0
2864,36238.0,1502545.0,2868.0,28982.0,1292.0
3550,35814.0,1506451.0,2780.0,29096.0,1258.0
3338,35820.0,1510207.0,3358.0,29186.0,1180.0
3410,34698.0,1514305.0,2852.0,29242.0,1154.0
3238,34420.0,1517625.0,2762.0,29304.0,1134.0
2560,34034.0,1520529.0,2630.0,29330.0,1128.0
1978,33062.0,1523609.0,2570.0,29400.0,1104.0
2752,32318.0,1526989.0,2686.0,29470.0,1046.0
3620,32544.0,1530405.0,2936.0,29552.0,1034.0
3482,32498.0,1533749.0,2684.0,29594.0,1022.0
3546,32384.0,1537295.0,2668.0,29638.0,1002.0
