employ_apply,employ_decision,employ_cnt,life_cnt_apply,life_cnt,life_decision,pcr_test_cnt,pcr_cnt
63481.0,62553.0,449.62,2743221.0,2641615.0,11451.68066,82330.0,82715.0
63481.0,62553.0,449.62,2743221.0,2641615.0,11451.68066,77966.0,85811.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,50503.0,62647.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,30571.0,28726.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,86696.0,82199.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,70951.0,91207.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,96428.0,91578.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,94257.0,101991.0
58771.0,66991.0,556.67,2743221.0,2641615.0,11451.68066,91286.0,104508.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,58221.0,85451.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,35886.0,31312.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,83925.0,96298.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,81048.0,101166.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,68106.0,107528.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,91921.0,53202.0
67098.0,59094.0,512.67,2743221.0,2641615.0,11451.68066,64494.0,115451.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,68323.0,78893.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,36217.0,40692.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,44186.0,42368.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,27746.0,40701.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,67085.0,62787.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,89586.0,90409.0
43484.0,29932.0,307.03,2743221.0,2641615.0,11451.68066,109758.0,124258.0
90749.0,77134.0,618.4108494,2743221.0,2641615.0,11451.68066,71001.0,101380.0
